                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2179,                 2.7392,                 1.5673,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0006,                 0.0006,                 0.0006
                      2,                 1.1386,                 2.6582,                 1.5399,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012999,              0.0012999,              0.0012999
                      3,                0.98544,                 2.4291,                  1.398,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019996,              0.0019996,              0.0019996
                      4,                0.93144,                   1.89,                 1.3804,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0026992,              0.0026992,              0.0026992
                      5,                0.91107,                 1.6057,                 1.3199,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0033987,              0.0033987,              0.0033987
                      6,                0.93937,                 1.5935,                 1.3594,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004098,               0.004098,               0.004098
                      7,                0.84614,                 1.5288,                 1.3165,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0047971,              0.0047971,              0.0047971
                      8,                0.90578,                 1.5513,                 1.3298,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0054962,              0.0054962,              0.0054962
                      9,                0.83091,                 1.4591,                 1.2999,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0061951,              0.0061951,              0.0061951
                     10,                0.87645,                 1.4355,                 1.3078,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0068939,              0.0068939,              0.0068939
                     11,                0.84188,                 1.3567,                 1.2884,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0075925,              0.0075925,              0.0075925
                     12,                0.85758,                 1.3147,                 1.2923,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008291,               0.008291,               0.008291
                     13,                0.90805,                 1.3198,                 1.3181,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0089893,              0.0089893,              0.0089893
                     14,                0.89568,                 1.2847,                  1.319,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0096875,              0.0096875,              0.0096875
                     15,                0.95378,                 1.2806,                 1.3461,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099861,              0.0099861,              0.0099861
                     16,                0.98978,                  1.266,                  1.371,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099861,              0.0099861,              0.0099861
                     17,                  1.008,                 1.2861,                 1.4058,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099851,              0.0099851,              0.0099851
                     18,                0.96679,                 1.3049,                 1.3782,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099842,              0.0099842,              0.0099842
                     19,                0.96589,                 1.2485,                 1.3313,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099832,              0.0099832,              0.0099832
                     20,                 1.0157,                 1.3059,                 1.3658,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099822,              0.0099822,              0.0099822
                     21,                0.95006,                  1.245,                 1.3533,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099812,              0.0099812,              0.0099812
                     22,                0.93864,                 1.1656,                 1.3321,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099802,              0.0099802,              0.0099802
                     23,                 0.9623,                 1.2145,                 1.3857,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099792,              0.0099792,              0.0099792
                     24,                0.98021,                  1.118,                 1.3867,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099782,              0.0099782,              0.0099782
                     25,                 1.0454,                  1.158,                 1.4174,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099772,              0.0099772,              0.0099772
                     26,                 1.0485,                 1.1477,                 1.4283,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099762,              0.0099762,              0.0099762
                     27,                0.98624,                 1.1174,                 1.3636,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099753,              0.0099753,              0.0099753
                     28,                 1.0011,                 1.1257,                 1.3893,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099743,              0.0099743,              0.0099743
                     29,                 1.0447,                 1.1657,                 1.3681,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099733,              0.0099733,              0.0099733
                     30,                0.95012,                 1.0714,                 1.3323,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099723,              0.0099723,              0.0099723
